,0
344,644.2
345,644.2
346,644.2
347,644.2
348,644.2
349,644.2
350,645.2
351,644.2
352,644.2
353,645.2
354,644.2
355,644.2
356,644.2
357,644.2
358,644.2
359,643.2
360,644.2
361,644.2
362,644.2
363,644.2
364,644.2
365,644.2
366,644.2
367,643.2
368,643.2
369,643.2
370,643.2
371,643.2
372,643.2
373,643.2
374,643.2
375,643.2
376,643.2
377,643.2
378,643.2
379,643.2
380,643.2
381,643.2
382,642.2
383,642.2
384,642.2
385,642.2
386,642.2
387,642.2
388,641.2
389,642.2
390,642.2
391,641.2
392,641.2
393,641.2
394,641.2
395,641.2
396,641.2
397,641.2
398,641.2
399,641.2
400,641.2
401,641.2
402,641.2
403,641.2
404,641.2
405,641.2
406,641.2
407,641.2
408,641.2
409,641.2
410,641.2
411,641.2
412,641.2
413,641.2
414,640.2
415,640.2
416,640.2
417,640.2
418,640.2
419,639.2
420,639.2
421,639.2
422,639.2
423,639.2
424,639.2
425,639.2
426,639.2
427,639.2
428,639.2
429,639.2
430,639.2
431,639.2
432,639.2
433,639.2
434,631.2
435,631.2
436,631.2
437,631.2
438,631.2
439,631.2
440,631.2
441,631.2
442,631.2
443,631.2
444,631.2
445,631.2
446,631.2
447,631.2
448,631.2
449,631.2
450,631.2
451,631.2
452,631.2
453,45.2
454,44.2
455,43.2
456,53.2
457,53.2
458,42.2
459,41.2
460,41.2
461,41.2
462,41.2
463,38.2
464,17.2
465,42.2
466,42.2
467,42.2
468,42.2
469,42.2
470,42.2
471,43.2
472,43.2
473,52.2
474,52.2
475,52.2
476,52.2
477,52.2
478,52.2
479,52.2
480,52.2
481,52.2
482,52.2
483,52.2
484,52.2
485,51.2
486,51.2
487,50.2
488,50.2
489,66.2
490,66.2
491,65.2
492,65.2
493,63.2
494,63.2
495,63.2
496,62.2
497,61.2
498,61.2
499,60.2
500,60.2
501,59.2
502,59.2
503,59.2
504,58.2
505,57.2
506,48.2
507,48.2
508,48.2
509,48.2
510,48.2
511,48.2
512,51.2
513,51.2
514,51.2
515,51.2
516,51.2
517,49.2
518,48.2
519,59.2
520,60.2
521,60.2
522,60.2
523,60.2
524,60.2
525,61.2
526,61.2
527,61.2
528,61.2
529,61.2
530,61.2
531,61.2
532,60.2
533,59.2
534,59.2
535,59.2
536,58.2
537,57.2
538,56.2
539,56.2
540,56.2
541,56.2
542,55.2
543,77.2
544,76.2
545,75.2
546,75.2
547,75.2
548,75.2
549,73.2
550,73.2
551,72.2
552,72.2
553,72.2
554,71.2
555,71.2
556,70.2
